FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f5f,02511,Kliebergasse,1,5,1879-06-30,10002449,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f60,04910,Titlgasse,1,13,1898-02-04,10004809,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f61,02989,Ludwig-Kirschner-Gasse,1,23,1951-09-20,10002921,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f62,00155,Amselgasse,1,21,1942-02-02,10000145,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f63,02697,Kuffnergasse,1,16,1946-06-30,10002631,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f64,12568,Wasserschlossweg,1,19,2011-11-07,10008640,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f65,10855,Margaritensteg,1,5,2003-11-07,10402984,2068,Brücke
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f66,01821,Hasenöhrlstraße,1,10,1956-06-20,10001770,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f67,00487,Bischofplatz,1,10,1973-01-05,10000471,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f68,05109,Volkmargasse,1,10,1956-06-20,10005004,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f69,02323,Kaistraße,1,10,1973-01-05,10002264,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f6a,09971,Vivaldigasse,1,10,1972-01-11,10007265,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f6b,05709,Gartengasse,1,10,1973-01-05,10005576,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f6c,03678,Pichlergasse,1,9,1882-06-30,10003598,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f6d,01491,Gießergasse,1,9,1846-01-01,10001446,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f6e,03339,Nadlergasse,1,9,1973-01-05,10003267,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f6f,04009,Rooseveltplatz,1,9,1946-05-07,10003926,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f70,03075,Mariannengasse,1,9,1862-06-30,10003004,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f71,04237,Schiergasse,1,22,1963-09-18,10004148,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f72,00352,Bambergergasse,1,22,1954-02-03,10000341,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f73,03056,Marchesigasse,1,22,1957-07-03,10002986,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f74,04059,Rotkehlchenweg,1,22,1964-02-19,10003973,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f75,03534,Otterweg,1,22,1966-11-02,10003456,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f76,06420,Karl-Seitz-Platz,1,21,1998-02-10,10006241,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f77,01035,Elfingerweg,1,22,1964-02-19,10000998,1113,Gemeindestraße
GEONAMENSVERZOGD.fid-2ce3f238_16e8cf264bc_5f78,09306,Rispenweg,1,22,1993-09-16,10006694,1113,Gemeindestraße
