"Streetname","District","Type"
"Ayrenhoffgasse","9","Gemeindestraße"
"Angeligasse","10","Gemeindestraße"
"Blindengasse","8","Gemeindestraße"
"Agnesgasse","19","Gemeindestraße"
"Sandgasse","19","Gemeindestraße"
"Anton-Schmid-Promenade","20","Gemeindestraße"
"Groß-Enzersdorfer Straße","22","Gemeindestraße"
"Sekowitschweg","22","Gemeindestraße"
"Im Gestockert","22","Gemeindestraße"
"Benjowskigasse","22","Gemeindestraße"
"Großbauerstraße","21","Gemeindestraße"
"Rieglgasse","21","Gemeindestraße"
"Opalgasse","21","Gemeindestraße"
"Schwaigergasse","21","Gemeindestraße"
"Steinheilgasse","21","Gemeindestraße"
"Schrödingerplatz","22","Gemeindestraße"
"Hanakgasse","14","Gemeindestraße"
"Rottstraße","14","Gemeindestraße"
"Costagasse","15","Gemeindestraße"
"Wilhelminenstraße","16|17","Gemeindestraße"
"Dettergasse","16","Gemeindestraße"
"Trauzlgasse","21","Gemeindestraße"
"Hevesigasse","13","Gemeindestraße"
"Steinseeweg","23","Gemeindestraße"
"Nußdorfer Schleusenbrücke","20","Brücke"
"Salmannsdorfer Straße","19","Gemeindestraße"
"Am Nordwestbahnhof","21","Gemeindestraße"
"Verbindungsweg","21","Weg in Kleingartenanlage"
"Cooperweg","21","Weg in Kleingartenanlage"
"Gsellhofergasse","23","Gemeindestraße"
"Khekgasse","23","Gemeindestraße"
"Straußengasse","5","Gemeindestraße"
"Röntgengasse","17","Gemeindestraße"
"Nachreihengasse","17","Gemeindestraße"
"Josef-Kutscha-Gasse","23","Gemeindestraße"
"Silvinggasse","13","Gemeindestraße"
"Nordportalstraße","2","Gemeindestraße"
"Personentunnel Praterstern-Hauptallee","2","Tunnel"
"Josef-Hindels-Gasse","19","Gemeindestraße"
"Heuberggstättenstraße","10","Gemeindestraße"
"Hermine-Jursa-Gasse","3","Gemeindestraße"
"Roland-Rainer-Platz","15","Gemeindestraße"
"Denisgasse","20","Gemeindestraße"
"Sportplatz WAF Gruabn","20","Sportplatz"
"Pfannenstielhof","17|18","städtische Wohnhausanlage"
"Weissauweg","22","Gemeindestraße"
"Lortzinggasse","14","Gemeindestraße"
"Alois-Appel-Hof","21","städtische Wohnhausanlage"
"Peter-Straßer-Hof","3","städtische Wohnhausanlage"
"Klausgasse","16","Gemeindestraße"
"Georgistraße","21","Gemeindestraße"
"Schmelzbrückenrampe","15","Gemeindestraße"
"Tannengasse","15","Gemeindestraße"
"Grünbeckweg","17","Gemeindestraße"
"Hölzelgasse","23","Gemeindestraße"
"Alpiltoweweg","21","Gemeindestraße"
"Zellwekergasse","23","Gemeindestraße"
"Ahornhof","10","städtische Wohnhausanlage"
"Akazienhof","12","städtische Wohnhausanlage"
"Schillingergasse","23","Gemeindestraße"
"Breite Gasse","7","Gemeindestraße"
"Pirolweg","14","Gemeindestraße"
"Obere Jungenberggasse","21","Gemeindestraße"
"Anton-Heger-Platz","23","Gemeindestraße"
"Beim Eisenbahnerberg","21","Gemeindestraße"
"Petrarcagasse","1","Gemeindestraße"
"Sportplatz Eßling","22","Sportplatz"
"Maillygasse","10","Gemeindestraße"
"Tauschinskygasse","22","Gemeindestraße"
"Kleistgasse","3","Gemeindestraße"
"Larochegasse","13","Gemeindestraße"
"Ehamgasse","11","Gemeindestraße"
"Hüttenteich","22","Stehendes Gewässer (See, Teich)"
"Teich Spitzau","22","Stehendes Gewässer (See, Teich)"
"Tritonwasser","22","Stehendes Gewässer (See, Teich)"
"Klebindergraben","11","Fließgewässer"
"Choleragraben","11","Fließgewässer"
"August-Ritt-Brücke","14","Brücke"
"Podhorezkygasse","23","Gemeindestraße"
"Lorbeergasse","3","Gemeindestraße"
"Spöttlgasse","21","Gemeindestraße"
"Mariahilfer Gürtel","6|15","Gemeindestraße"
"Reiffensteingasse","23","Gemeindestraße"
"Grüngasse","4|5","Gemeindestraße"
"Fritz-Moravec-Steig","13","Gemeindestraße"
"Schüttelstraße","2","Gemeindestraße"
"Erlachplatz","10","Gemeindestraße"
"Bonygasse","12","Gemeindestraße"
"SDL Neu-Florida","22","Gartensiedlung und Siedlung"
"KLG Ober dem Heustadlwasser","2","Kleingartenanlage"
"KLG Rosental","14","Kleingartenanlage"
"SDL Paul-Heyse-Gasse","11","Gartensiedlung und Siedlung"
"Friedhof Mauer","23","Friedhof"
"Reisenberg","19","Berg"
"Roßkopf","14","Berg"
"Weingartengrund","19","Flurname"
"Zugberg","23","Berg"
"Pulverstampftor","13","Objektname"
"Per Albin Hansson Siedlung","10","Wohngebiete"
"Wernhardtstraße","16","Gemeindestraße"
"Kahlgasse","21","Gemeindestraße"
"Höbarthgasse","21","Gemeindestraße"
"Fußweg Puffergasse","21","Gemeindestraße"
"Tribulzgasse","23","Gemeindestraße"
"Schubertring","1","Gemeindestraße"
"Platz-der-Vereinten-Nationen","22","Gemeindestraße"
"Buchbindergasse","13","Gemeindestraße"
"Johann-Ströck-Gasse","22","Gemeindestraße"
"Hedwig-Lehnert-Hof","21","städtische Wohnhausanlage"
"Max-Böhm-Hof","8","städtische Wohnhausanlage"
"Karl-Heinz-Hof","21","städtische Wohnhausanlage"
"August-Fuerst-Hof","12","städtische Wohnhausanlage"
"Heinz-Nittel-Hof","21","städtische Wohnhausanlage"
"Karl-Swoboda-Hof","11","städtische Wohnhausanlage"
"Frieda-Nödl-Hof","3","städtische Wohnhausanlage"
"Karl-Tlasak-Hof","11","städtische Wohnhausanlage"
"Scheibenbergstraße","18","Gemeindestraße"
"Klausenburger Straße","10","Gemeindestraße"
"Karplusgasse","10|12","Gemeindestraße"
"Gustav-Tschermak-Gasse","18|19","Gemeindestraße"
"Hintergärtengasse","19","Gemeindestraße"
"Florian-Geyer-Gasse","10","Gemeindestraße"
"Gentzgasse","18","Gemeindestraße"
"Barnabitengasse","6","Gemeindestraße"
"Am Bisamberg","21","Gemeindestraße"
"Braunschweigbrücke","14","Brücke"
"Julius-Raab-Platz","1","Gemeindestraße"
"Beatrixbrücke","3","Brücke"
"Klugargasse","23","Gemeindestraße"
"Gebirgsgasse","23","Gemeindestraße"
"Führichgasse","1","Gemeindestraße"
"Füchselhofgasse","12","Gemeindestraße"
"Parkplatz Cobenzl","19","Parkplatz"
"Dostojewskijgasse","13","Gemeindestraße"
"Halauskagasse","23","Gemeindestraße"
"Innozenz-Lang-Gasse","18","Gemeindestraße"
"Forestgasse","22","Gemeindestraße"
"Werdertorgasse","1","Gemeindestraße"
"Trenkwaldgasse","17","Gemeindestraße"
"Kugelmannplatz","23","Gemeindestraße"
"Matthias-Schönerer-Gasse","14|15","Gemeindestraße"
"Gänsehäufelbrücke","22","Brücke"
"Roggendorfgasse","17","Gemeindestraße"
"Brandstätte","1","Gemeindestraße"
"Otto-Wagner-Platz","9","Gemeindestraße"
"Hainburger Straße","3","Gemeindestraße"
"Kalksburger Straße","23","Gemeindestraße"
"Brücke im Zuge der Klederinger Straße","10","Brücke"
"Rembrandtstraße","2","Gemeindestraße"
"Schemmerlstraße","11","Gemeindestraße"
"Leopold-Berger-Weg","17","Weg in Kleingartenanlage"
"Veitlissengraben","13","Fließgewässer"
"Kalksburger Graben","23","Fließgewässer"
"Veitlissengasse","13","Gemeindestraße"
"Am Rain","22","Gemeindestraße"
"Spittelauer Platz","9","Gemeindestraße"
"Bahnhof Brigittenau","20","Bahnhof"
"Hackenberggasse","19","Gemeindestraße"
"Friedrich-Schmidt-Platz","1|8","Gemeindestraße"
"Eisenheldgasse","21","Gemeindestraße"
"Faistauergasse","13","Gemeindestraße"
"Fourniergasse","13","Gemeindestraße"
"Wolfsmilchgasse","22","Gemeindestraße"
"Michael-Res'-Gasse","21","Gemeindestraße"
"Holzmanngasse","21","Gemeindestraße"
"Jakob-Gremdlinger-Straße","14","Gemeindestraße"
"Gelbsilberweg","22","Gemeindestraße"
"Eduard-Lang-Weg","2","Gemeindestraße"
"Rebechof","19","städtische Wohnhausanlage"
"Reumannhof","5","städtische Wohnhausanlage"
"Wilhelmstraße","12","Gemeindestraße"
"Khemetergasse","23","Gemeindestraße"
"Rosariumsteg 2","22","Brücke"
"Spittelauer Brücke","9|20","Brücke"
"Wilhelmine-Moik-Hof","16","städtische Wohnhausanlage"
"August-Scholz-Hof","16","städtische Wohnhausanlage"
"Josef-Bohmann-Hof","22","städtische Wohnhausanlage"
"Rudolf-Hitzinger-Hof","21","städtische Wohnhausanlage"
"Hubert-Hladej-Hof","2","städtische Wohnhausanlage"
"Sportplatz Donaufeld","21","Sportplatz"
"Sportplatz Union Landhaus","21","Sportplatz"
"Austerlitzhof","16","städtische Wohnhausanlage"
"Bebelhof","12","städtische Wohnhausanlage"
"Berliner Hof","16","städtische Wohnhausanlage"
"Bieler Hof","21","städtische Wohnhausanlage"
"Johann-Nepomuk-Vogl-Markt","18","Markt"
"Tiergarten Schönbrunn","13","Objektname"
"Donauinsel","21|22","Flurname"
"Bartschweg","12","Gemeindestraße"
"Bühlerweg","14","Gemeindestraße"
"Aumannplatz","18","Gemeindestraße"
"Arnimgasse","21","Gemeindestraße"
"Am Bahnhof","22","Gemeindestraße"
"Hamerlingplatz","8","Gemeindestraße"
"Holbeingasse","10","Gemeindestraße"
"Steinbauergasse","12","Gemeindestraße"
"Huleschgasse","19","Gemeindestraße"
"Lottgasse","21","Gemeindestraße"
"Rebhanngasse","20","Gemeindestraße"
"Stinygasse","10","Gemeindestraße"
"Atzgersdorfer Straße","12|13|23","Gemeindestraße"
"Biberhaufenweg","22","Gemeindestraße"
"Linke Wienzeile","6|15","Gemeindestraße"
"Aderklaaer Straße","21","Gemeindestraße"
"Puchsbaumgasse","10","Gemeindestraße"
"KLG Knödelhütte","14","Kleingartenanlage"
"KLG Satzberg Alt","14","Kleingartenanlage"
"KLG Starchant Aigen","16","Kleingartenanlage"
"KLG Blumental Neu","10","Kleingartenanlage"
"KLG Zwillingsee","10","Kleingartenanlage"
"KLG Faniteum","13","Kleingartenanlage"
"KLG Wolkersbergen","13","Kleingartenanlage"
"KLG Schafbergsiedlung (Gr.C)","17","Kleingartenanlage"
"SDL Donauheim","22","Gartensiedlung und Siedlung"
"Zufahrt Hebewerk","22","Gebrauchsname"
"KLG Am Küniglberg","13","Kleingartenanlage"
"KLG Waldrand","16","Kleingartenanlage"
"KLG Leopoldau (Gr.A)","21","Kleingartenanlage"
"Falcostiege","5","Gemeindestraße"
"Hamburgerstraße","5","Gemeindestraße"
"Mayergasse","2","Gemeindestraße"
"Wimpissingerweg","13","Gemeindestraße"
"Ampèregasse","21","Gemeindestraße"
"Himmelbaurgasse","13","Gemeindestraße"
"Lazargasse","17|18","Gemeindestraße"
"Kloepferstraße","22","Gemeindestraße"
"Weinlich-Amann-Gasse","21","Gemeindestraße"
"Offenbachgasse","2","Gemeindestraße"
"Belvedereallee","2","Gemeindestraße"
"Bürgerspitalgasse","6","Gemeindestraße"
"Gaullachergasse","16","Gemeindestraße"
"Terramaregasse","23","Gemeindestraße"
"Linke Bahngasse","3","Gemeindestraße"
"Zwerenzweg","13","Gemeindestraße"
"Feuersteingasse","23","Gemeindestraße"
"Kohlesgasse","14","Gemeindestraße"
"Haunzahndgasse","12","Gemeindestraße"
"Anton-Langer-Gasse","13","Gemeindestraße"
"Kutschkermarkt","18","Markt"
"Schwendermarkt","15","Markt"
"Nora-Hiltl-Hof","13","städtische Wohnhausanlage"
"Max-Tober-Hof","5","städtische Wohnhausanlage"
"Große Stockwiese","17","Wiese"
"Steg über den Erbsenbach","19","Brücke"
"Karl-Jenschke-Weg","22","Gemeindestraße"
"Orchisgasse","22","Gemeindestraße"
"Muratweg","22","Weg in Kleingartenanlage"
"Mörthgasse","21","Gemeindestraße"
"Leyßgasse","17","Gemeindestraße"
"Favoritner Gewerbering","10","Gemeindestraße"
"Gregor-Ulbrich-Gasse","21","Gemeindestraße"
"Ernst-Vasovec-Gasse","21","Gemeindestraße"
"Arnezhoferstraße","2","Gemeindestraße"
"Carabelligasse","21","Gemeindestraße"
"Grundsteingasse","16","Gemeindestraße"
"Hellwagstraße","20","Gemeindestraße"
"Bahndammweg","21","Gemeindestraße"
"Kaposigasse","22","Gemeindestraße"
"Alma-Seidler-Weg","23","Gemeindestraße"
"Rapsweg","22","Gemeindestraße"
"Mollgasse","18","Gemeindestraße"
"Waidäckergasse","16","Gemeindestraße"
"Custozzagasse","3","Gemeindestraße"
"Thonetgasse","22","Gemeindestraße"
"Lindheimgasse","14","Gemeindestraße"
"Jochen-Rindt-Straße","23","Gemeindestraße"
"Gerlgasse","3","Gemeindestraße"
"Oskar-Simony-Straße","14","Gemeindestraße"
"Knollergasse","22","Gemeindestraße"
"Obere Weißgerberstraße","3","Gemeindestraße"
"SDL Süßenbrunn","22","Gartensiedlung und Siedlung"
"Schloß Schönbrunn","13","Objektname"
"Schleusenbrücke Wehr 1","22","Brücke"
"Donaustadtstraße","22","Gemeindestraße"
"Kardinal-König-Platz","13","Gemeindestraße"
"Berchtoldgasse","22","Gemeindestraße"
"Simmeringer Hauptstraße","11","Gemeindestraße"
"Zufahrt","22","Gebrauchsname"
"Rechte Wienzeile","1|4|5|12","Gemeindestraße"
"Auhofstraße","13","Gemeindestraße"
"Nedbalgasse","22","Gemeindestraße"
"Steckhovengasse","13","Gemeindestraße"
"Asperner Heldenplatz","22","Gemeindestraße"
"Welschgasse","23","Gemeindestraße"
"Obere Donaustraße","2","Gemeindestraße"
"Reumanngerinne","19","Fließgewässer"
"Unterer Jungenberggraben","21","Fließgewässer"
"Rampenbrücke Süd","22","Brücke"
"Grünbrücke Donaupark","22","Brücke"
"Piratsteg","22","Brücke"
"Michaelerwaldweg","19","Gemeindestraße"
"Marsbrücke","17","Brücke"
"Aussichtsturmbrücke","18","Brücke"
"Waldbachsteg","19","Brücke"
"Haseläckersteg","19","Brücke"
"Hauerweg","19","Gemeindestraße"
"Steg 1923","19","lokaler (interner) Straßenname"
"Haidgrabensteg","19","Brücke"
"Jean-Jaures-Hof","10","städtische Wohnhausanlage"
"Siedlung Jedlesee","21","städtische Wohnhausanlage"
"Julius-Ofner-Hof","5","städtische Wohnhausanlage"
"Karl-Frey-Hof","15","städtische Wohnhausanlage"
"Karl-Höger-Hof","11","städtische Wohnhausanlage"
"Martinstraße","18","Gemeindestraße"
"Triester Straße","10|23","Gemeindestraße"
"Ganglbauergasse","16","Gemeindestraße"
"Jägerwegbrücke","23","Brücke"
"Korbweidenweg","22","Gemeindestraße"
"Bruckhaufner Hauptstraße","21","Gemeindestraße"
"Sturzgasse","14|15","Gemeindestraße"
"Jungstraße","2","Gemeindestraße"
"Rotenmühlgasse","12","Gemeindestraße"
"Lewinskygasse","16","Gemeindestraße"
"Beringgasse","16|17","Gemeindestraße"
"Georg-Wilhelm-Pabst-Gasse","10","Gemeindestraße"
"Stenografengasse","23","Gemeindestraße"
"Dr.-Pirnitzer-Platz","23","Gemeindestraße"
"Achtergasse","23","Gemeindestraße"
"Altdorferstraße","10","Gemeindestraße"
"Schulgasse","18","Gemeindestraße"
"Gräßlplatz","3|11","Gemeindestraße"
"Andersengasse","12","Gemeindestraße"
"Leinweg","22","Gemeindestraße"
"Arzbergergasse","17","Gemeindestraße"
"Große Neugasse","4","Gemeindestraße"
"U-Bahn Station Josefstädter Straße","8","U-Bahnstation"
"U-Bahn Station Westbahnhof","7|15","U-Bahnstation"
"U-Bahn Station Ober Sankt Veit","13","U-Bahnstation"
"Pfalzgasse","22","Gemeindestraße"
"Heringgasse","22","Gemeindestraße"
"Nejesgasse","23","Gemeindestraße"
"Biotopweg","22","Gemeindestraße"
"Reinholdgasse","22","Gemeindestraße"
"Ruzickagasse","23","Gemeindestraße"
"Fleischhackergasse","23","Gemeindestraße"
"Friedstraße","21","Gemeindestraße"
"Vergaragasse","22","Gemeindestraße"
"Pollakgasse","23","Gemeindestraße"
"Franz-Petter-Gasse","13","Gemeindestraße"
"Venediger Au","2","Gemeindestraße"
"Krieglergasse","3","Gemeindestraße"
"Gerinne Neilreichgasse","10|23","Fließgewässer"
"Malfattisteig","13","Gebrauchsname"
"Mostweg","11","Weg in Kleingartenanlage"
"Obstweg","11","Weg in Kleingartenanlage"
"KLG Alte Donau","22","Kleingartenanlage"
"KLG Am Ameisbach","14","Kleingartenanlage"
"KLG Am Heuberg","17","Kleingartenanlage"
"KLG Am Ries Feuerwehr","22","Kleingartenanlage"
"Kölblgasse","3","Gemeindestraße"
"Andreas-Huger-Gasse","22","Gemeindestraße"
"Bernadottegasse","10","Gemeindestraße"
"Ignaz-Weigl-Gasse","11","Gemeindestraße"
"KLG Josefsheim","13","Kleingartenanlage"
"KLG Girzenberg","13","Kleingartenanlage"
"Baumgarten Brücke","13|14","Brücke"
"In den Kräutern","17","Gemeindestraße"
"Victor-Gruen-Gasse","10","Gemeindestraße"
"Lausgrund","22","Flurname"
"Hochwiese","13","Wiese"
"Hornaus Kogel","13","Berg"
"Mühlwassersteg","22","Brücke"
"Lobauer Hafenbrücke","22","Brücke"
"Leberberg","11","Berg"
"Lobau Forsthaus","22","Objektname"
"Mamsellwiese","14","Wiese"
"Karl-Schönherr-Hof","9","städtische Wohnhausanlage"
"Lassallehof","2","städtische Wohnhausanlage"
"Leuthnerhof","6","städtische Wohnhausanlage"
"Lützowhof","14","städtische Wohnhausanlage"
"Marianne-Hainisch-Hof","3","städtische Wohnhausanlage"
"Mithlingerhof","10","städtische Wohnhausanlage"
"Paul-Richter-Hof","15","städtische Wohnhausanlage"
"Paul-Speiser-Hof","21","städtische Wohnhausanlage"
"Dvorakgasse","13","Gemeindestraße"
"KLG Spitzweg","21","Kleingartenanlage"
"KLG Döbling","19","Kleingartenanlage"
"Marchfeldstraße","20","Gemeindestraße"
"Kugygasse","13","Gemeindestraße"
"Lange Gasse","8","Gemeindestraße"
"Hahngasse","9","Gemeindestraße"
"Handlirschgasse","17","Gemeindestraße"
"Bodenstedtgasse","21","Gemeindestraße"
"Siebenbrunnengasse","5|12","Gemeindestraße"
"Guntherstraße","22","Gemeindestraße"
"Zahnradbahnstraße","19","Gemeindestraße"
"Johann-Staud-Straße","16","Gemeindestraße"
"Dernjacgasse","23","Gemeindestraße"
"Stranzenbergbrücke","13","Brücke"
"Eslarngasse","3","Gemeindestraße"
"Weiskirchnerstraße","1","Gemeindestraße"
"Hardtmuthgasse","10","Gemeindestraße"
"Gschweidlgasse","21","Gemeindestraße"
"Ziegelofenweg","21","Gemeindestraße"
"Lohwaggasse","22","Gemeindestraße"
"Asperner Friedhofweg","22","Gemeindestraße"
"Manngasse","23","Gemeindestraße"
"Feldlerchengasse","21","Gemeindestraße"
"Zur Spinnerin","10","Gemeindestraße"
"KG Hirschstetten","22","Katastralgemeinde"
"Wolfgang-Schmitz-Promenade","1","Gemeindestraße"
"Rudolf-Schön-Gasse","21","Gemeindestraße"
"Neurissener Anger","22","Gemeindestraße"
"KLG Hagenberg","13","Kleingartenanlage"
"Adolf-Kirchl-Gasse","10","Gemeindestraße"
"Ausjagdweg","14","Gemeindestraße"
"An der Grenze","14","Gemeindestraße"
"Alois-Kraus-Promenade","13","Gemeindestraße"
"Am Krautgarten","22","Gemeindestraße"
"Krichbaumgasse","12","Gemeindestraße"
"Brunnerweg","12","Weg in Kleingartenanlage"
"Citronenweg","11","Weg in Kleingartenanlage"
"Denkmalweg","18","Weg in Kleingartenanlage"
"Hellaweg","11","Weg in Kleingartenanlage"
"KLG ÖBB Hetzendorf 2060","12","Kleingartenanlage"
"KLG Kreuzbau","17","Kleingartenanlage"
"KLG Waldegghof","17","Kleingartenanlage"
"Nußdorfer Brücke","19|20","Brücke"
"Stadtparksteg","1|3","Brücke"
"KLG Leopoldau Werk 6","21","Kleingartenanlage"
"KLG Maulwurf","16","Kleingartenanlage"
"SDL Neugebäude","11","Gartensiedlung und Siedlung"
"Passage Eichenstraße","5","Passage"
"Erdberger Lände","3|11","Gemeindestraße"
"Iglaseegasse","19","Gemeindestraße"
"Unterführung-Richard-Neutra-Gasse","21","Unterführung"
"Schellenhofgasse","23","Gemeindestraße"
"In der Bien","22","Gemeindestraße"
"Porzellangasse","9","Gemeindestraße"
"KLG Dahlienwiese","18","Kleingartenanlage"
"KLG Hirsgrund","17","Kleingartenanlage"
"KLG Neugebäude Schloss","11","Kleingartenanlage"
"KLG Zum Acker","10","Kleingartenanlage"
"Johannser Wiese","13","Wiese"
"Kaltbründlberg","13","Berg"
"Rosenbach","14|16","Fließgewässer"
"Schablerbach","19","Fließgewässer"
"Schreiberbach","19","Fließgewässer"
"Nesselbach","19","Fließgewässer"
"Vösendorfer Graben","13","Fließgewässer"
"Wienfluss","1|3|4|5|6|12|13|14|15","Fließgewässer"
"Kuchelauer Hafen","19","Hafenanlage"
"Gussenbauergasse","9","Gemeindestraße"
"Fliederhof","10","Gemeindestraße"
"Pogrelzstraße","22","Gemeindestraße"
"Steinschötelgasse","10","Gemeindestraße"
"Schneidergasse","11","Gemeindestraße"
"Stephensongasse","21","Gemeindestraße"
"Labanweg","19","Gemeindestraße"
"Weinrothergasse","13","Gemeindestraße"
"Ostrandstraße","23","Gemeindestraße"
"Engerthstraße","2|20","Gemeindestraße"
"Dr.-Natterer-Gasse","2","Gemeindestraße"
"Weidingergasse","22","Gemeindestraße"
"Grünanlage Lorenz-Mandl-Gasse","16","Park"
"Grünanlage Linke Bahngasse","3","Park"
"Grünanlage Lili-Grün-Platz","2","Park"
"Grünanlage Liechtensteinstraße","9","Park"
"Grünanlage Leopold-Kunschak-Platz","17","Park"
"WU (Wirtschaftsuniversität Wien)","2","Objektname"
"Campus-WU","2","Flurname"
"Aspern IQ","22","Objektname"
"Grünanlage Langauergasse","15","Park"
"Grünanlage Kühnplatz","4","Park"
"Grünanlage Kugelmannplatz","23","Park"
"Parkanlage Kriemhildplatz","15","Park"
"Grünanlage Kardinal-Rauscher-Platz","15","Park"
"Grünanlage Hugo-Wiener-Platz","4","Park"
"KGA Neustift","19","Kleingartenanlage"
"Grünanlage Jenny-Steiner-Weg","7","Park"
"Grünanlage Kolonitzplatz","3","Park"
"Antonspark","10","Park"
"Grünanlage Grohgasse","5","Park"
"Parkanlage Feuerhalle Simmering","11","Park"
"Grünanlage Esteplatz","3","Park"
"Grünanlage Eipeldauer Straße","22","Park"
"Grünanlage Defreggerstraße","12","Park"
"Parkanlage Bruno-Pittermann-Platz","12","Park"
"Grünanlage Breitenleer Straße","22","Park"
"Grünanlage Bernreiterplatz","21","Park"
"Grünanlage Bennoplatz","8","Park"
"Grünanlage Bauernfeldplatz","9","Park"
"Grünanlage Aspernstraße","22","Park"
"Grünanlage Anton-Anderer-Platz","21","Park"
"Grünanlage Am Tabor","2","Park"
"Grünanlage Apostelgasse","3","Park"
"Grünanlage Alexander-Poch-Platz","2","Park"
"Grünanlage Albertplatz","8","Park"
"Grünanlage Akkonplatz","15","Park"
"Grünanlage Große Sperlgasse","2","Park"
"Jugend-Point SEA","22","Objektname"
"P7-Bettenbörse","2","Objektname"
"Zentrale der Musikschule","8","Objektname"
"Rauchfangkehrer-Museum","4","Museum"
"Pflegekinderzentrum Floridsdorf","21","Sozialeinrichtungen"
"Magistratisches Bezirksamt 1.u.8.Bezirk","1","Städtisches Amt"
"Am Augartenspitz","2","Gemeindestraße"
"Expositur Leopoldstadt","2","Städtisches Amt"
"Magistratisches Bezirksamt 3.Bezirk","3","Städtisches Amt"
"Magistratisches Bezirksamt 4.u.5.Bezirk","5","Städtisches Amt"
"Magistratisches Bezirksamt 6.u.7.Bezirk","7","Städtisches Amt"
"Expositur Alsergrund","9","Städtisches Amt"
"Magistratisches Bezirksamt 10.Bezirk","10","Städtisches Amt"
"Magistratisches Bezirksamt 11.Bezirk","11","Städtisches Amt"
"Magistratisches Bezirksamt 12.Bezirk","12","Städtisches Amt"
"Magistratisches Bezirksamt 13.u.14.Bezirk","13","Städtisches Amt"
"Magistratisches Bezirksamt 15.Bezirk","15","Städtisches Amt"
"Magistratisches Bezirksamt 16.Bezirk","16","Städtisches Amt"
"Magistratisches Bezirksamt 9./17.Bezirk","17","Städtisches Amt"
"Magistratisches Bezirksamt 18.Bezirk","18","Städtisches Amt"
"Magistratisches Bezirksamt 19.Bezirk","19","Städtisches Amt"
"Magistratisches Bezirksamt 2./20.Bezirk","20","Städtisches Amt"
"Magistratisches Bezirksamt 21.Bezirk","21","Städtisches Amt"
"Magistratisches Bezirksamt 22.Bezirk","22","Städtisches Amt"
"Magistratisches Bezirksamt 23.Bezirk","23","Städtisches Amt"
"Austro Control","3","Objektname"
"Helene-Bauer-Platz","6","Gemeindestraße"
"Augustinerkirche","1","Kirche"
"Tausigplatz","4","Gemeindestraße"
"Karlskirche","4","Kirche"
"Kirche am Steinhof","14","Kirche"
"Michaelerkirche","1","Kirche"
"Stephansdom","1","Kirche"
"Votivkirche","9","Kirche"
"Islamisches Zentrum","21","Kirche"
"Wotrubakirche","23","Kirche"
"Synagoge","1","Kirche"
"Oberes Belvedere","3","Objektname"
"Unteres Belvedere","3","Objektname"
"Künstlerhaus","1","Objektname"
"Riesenrad","2","Objektname"
"Planetarium","2","Museum"
"Albertina","1","Museum"
"Haus der Musik","1","Museum"
"Haus des Meeres ""AQUA TERRA ZOO""","6","Museum"
"Kaisergruft (Kapuzinergruft)","1","Museum"
"Kunsthistorisches Museum","1","Museum"
"Naturhistorisches Museum","1","Museum"
"Leopold Museum","7","Museum"
"Liechtenstein Museum","9","Museum"
"Sisi Museum","1","Museum"
"Donaufähre","2","Fähre"
"Gewidmete Verkehrsfläche","21","Gemeindestraße"
"Gewidmete Verkehrsfläche","21","Gemeindestraße"
"Otto Wagner Pavillon","1","Museum"
"Technisches Museum","14","Museum"
"Sigmund Freud Museum","9","Museum"
"Österreichische Nationalbibliothek","1","Museum"
"MAK-Musem für angewandte Kunst","1","Museum"
"Mozarthaus Vienna ""Figarohaus""","1","Museum"
"MUMOK Museum Moderner Kunst","7","Museum"
"Wagenburg Schönbrunn","13","Museum"
"Secession","1","Museum"
"Kaiserliche Schatzkammer","1","Museum"
"Geistliche Schatzkammer","1","Museum"
"Wagner: Werk Museum Postsparkasse","1","Museum"
"Feuerwehrmuseum","1","Museum"
"Österreichisches Filmmuseum","1","Museum"
"Judith-Deutsch-Steg","2","Brücke"
"Volkstheater","7","Theater, Oper"
"Volksoper","9","Theater, Oper"
"Zaha-Hadid-Platz","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Ausgrabungen Michaelerplatz","1","Museum"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Uhrenmuseum","1","Museum"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Alte Schmiede","1","Museum"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Österreichisches Volksliedwerk","1","Museum"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"MOYA-Museum Of Young Art","1","Museum"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Kaffeemuseum","5","Museum"
"Österreichisches Gesellschafts- und Wirtschaftsmuseum","5","Museum"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
