"Streetname","District","Type"
"EN 57","22","Brücke"
"Finkenweg","11","Weg in Kleingartenanlage"
"Fasanweg","11","Weg in Kleingartenanlage"
"Diana-Budisavljevic-Park","9","Park"
"Leopold-Rosenmayr-Park","18","Park"
"Albert-Dub-Park","18","Park"
"Franz-Polly-Park","21","Park"
"Evangelischer Friedhof Matzleinsdorf","10","Friedhof"
"Frederic-Morton-Park","17","Park"
"Lorenz-Bayer-Park","17","Park"
"Währinger Park","18","Park"
"Pfaffenaugasse","11","Gemeindestraße"
"Hohenbergstraße","12","Gemeindestraße"
"Nästlbergergasse","13","Gemeindestraße"
"Kolbetergasse","14","Gemeindestraße"
"Leschetitzkygasse","18","Gemeindestraße"
"Fahnenweg","19","Gemeindestraße"
"Steinbatzweg","21","Gemeindestraße"
"Boltzmanngasse","9","Gemeindestraße"
"Mautner-Markhof-Gasse","11","Gemeindestraße"
"Poppenwimmergasse","21","Gemeindestraße"
"Chmelgasse","19","Gemeindestraße"
"Stadionbrücke","2|3","Brücke"
"Unterfahrung Kefergasse","14","Brücke"
"Hans-Mayr-Platz","22","Gemeindestraße"
"Trözmüllergasse","22","Gemeindestraße"
"Roman-Köhler-Steg","2","Brücke"
"Franz-Josefs-Kai-Tragwerk","1","Brücke"
"Blanche-Aubry-Weg","19","Gemeindestraße"
"Mittelweg","12","Weg in Kleingartenanlage"
"Karl-Schwanzer-Gasse","10","Gemeindestraße"
"Hammerschmiedgraben","19","Fließgewässer"
"Steigenteschgasse","22","Gemeindestraße"
"Steinergasse","17","Gemeindestraße"
"Stubenbastei","1","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","21","Gemeindestraße"
"Hopfnerweg","11","Gemeindestraße"
"Schrammelgasse","17","Gemeindestraße"
"Waldzeile","17","Weg in Kleingartenanlage"
"Berglergasse","21","Gemeindestraße"
"Brunnenweg","10","Weg in Kleingartenanlage"
"Brunnenweg","12","Weg in Kleingartenanlage"
"Westring","9","Gebrauchsname"
"Franz-Jonas-Schule","21","Schule"
"Friedhof Eßling","22","Friedhof"
"Michael-Bausback-Park","23","Park"
"Jakov-Lind-Straße","2","Gemeindestraße"
"Marshallhof","22","städtische Wohnhausanlage"
"Joseph-Schmidt-Platz","3","Gemeindestraße"
"Sonnenallee","22","Gemeindestraße"
"Moosweg","11","Weg in Kleingartenanlage"
"Klosterweg","17","Weg in Kleingartenanlage"
"Nussbaumallee","11","Gemeindestraße"
"Selma-Lagerlöf-Brücke","10","Brücke"
"Messegelände","2","Objektname"
"Siebensternplatz","7","Gemeindestraße"
"Meiselmarkt Fußgängerbrücke","15","Brücke"
"Bertha-Zuckerkandl-Weg","9","Gemeindestraße"
"Metzleinstaler Hof","5","städtische Wohnhausanlage"
"KLG ÖBB Schererstraße","21","Kleingartenanlage"
"KLG Czartoryskigasse 149","17","Kleingartenanlage"
"Meiselmarkt","15","Markt"
"Flohmarkt Naschmarkt","6","Markt"
"Temporärer Markt Großfeldsiedlung","21","Markt"
"Berta-Karlik-Gasse","13","Gemeindestraße"
"Hertha-Firnberg-Straße","10","Gemeindestraße"
"Dattlergasse","21","Gemeindestraße"
"Arakawastraße","22","Gemeindestraße"
"Axel-Corti-Gasse","21","Gemeindestraße"
"Gewidmete Verkehrsfläche","22","Gemeindestraße"
"Gewidmete Verkehrsfläche","14","Gemeindestraße"
"Gewidmete Verkehrsfläche","19","Gemeindestraße"
"Schöffelplatz","14","Gemeindestraße"
"Ing.-Sarek-Weg","22","Gemeindestraße"
"Franz-Pletersky-Weg","22","Gemeindestraße"
"Karmelitermarkt","2","Gemeindestraße"
"Mondweg","22","Weg in Kleingartenanlage"
"Friessneggpark","21","Park"
"Josef-Kaderka-Park","17","Park"
"U-Bahn Station Karlsplatz","1","U-Bahnstation"
"U-Bahn Station Kettenbrückengasse","5","U-Bahnstation"
"Bahnhof Geiselbergstraße","11","Bahnhof"
"Oswaldschleife","12","Schnellbahn"
"Ekazent Hietzing","13","Geschäft"
"Schießstätte Stammersdorf","21","Objektname"
"Campus Wiener Netze","11","Objektname"
"Johanneskapelle","9","Objektname"
"Brücke Brünner Straße","21","Brücke"
"Gewidmete Verkehrsfläche","21","Gemeindestraße"
"Bruno-Marek-Allee","2","Gemeindestraße"
"Gewidmete Verkehrsfläche","21","Gemeindestraße"
"Simmelgasse","21","Gemeindestraße"
"Marischkapromenade","21","Gemeindestraße"
"Überführung A22 Kaisermühlen Süden","22","Brücke"
"Eisenbahnbrücke Donaukanal","19|20","Brücke"
"Knoten Nußdorf Tragwerk 14","20","Brücke"
"Nielrosenweg","10","Gemeindestraße"
"Malzgasse","2","Gemeindestraße"
"Möllergasse","23","Gemeindestraße"
"Dr.-Bohr-Gasse","3","Gemeindestraße"
"Pfirsichgasse","22","Gemeindestraße"
"Bertha-von-Suttner-Gasse","22","Gemeindestraße"
"Mehlbeerengasse","22","Gemeindestraße"
"Kirchmeyergasse","13","Gemeindestraße"
"Grohnergasse","10","Gemeindestraße"
"Jägerstätterstraße","14","Gemeindestraße"
"Wolfgang-Mühlwanger-Straße","22","Gemeindestraße"
"Krummbaumgasse","2","Gemeindestraße"
